Text,Label
"When I was seven, my dad bought me a red bicycle.","Childhood"
"I used to play in the sandbox for hours when I was a kid.","Childhood"
"My earliest memory is baking cookies with my grandmother.","Childhood"
"Growing up in the 90s meant spending all day outside until the streetlights came on.","Childhood"
"I remember my first day of elementary school vividly.","Childhood"
"We met at a diner in 1965 and it was love at first sight.","Romance"
"She smiled at me across the room and I knew it was meant to be.","Romance"
"Our first date was a disaster, but we still laugh about it today.","Romance"
"Getting married was the best decision I ever made.","Romance"
"The secret to a long marriage is patience and separate bathrooms.","Wisdom"
"You have to learn to forgive yourself before you can forgive others.","Wisdom"
"If I could give my younger self one piece of advice, it would be to not care so much about what others think.","Wisdom"
"True wealth is not measured in money, but in the time you spend with loved ones.","Wisdom"
"I started my first job flipping burgers when I was 16.","Work"
"Working long hours finally paid off when I got the promotion.","Work"
"The office politics were exhausting, but the work itself was rewarding.","Work"
"Retiring after 40 years felt both liberating and terrifying.","Work"
"Looking back, I realize how much I have grown as a person.","Reflection"
"I sometimes wonder what would have happened if I had taken that other job.","Reflection"
"It's strange how time flies when you're not paying attention.","Reflection"
"The hardest choices in life are often the ones that matter the most.","Reflection"
"Let me tell you the story of how we ended up stranded in the desert.","Story"
"It was a dark and stormy night when the lights suddenly went out.","Story"
"We thought it was a great idea to hike without a map. We were wrong.","Story"
"The craziest thing happened to me at the grocery store today.","Story"
"Today was just an ordinary Tuesday, nothing special happened.","General"
"I need to remember to pick up groceries tomorrow.","General"
"The weather has been quite unpredictable lately.","General"
"I had a really good sandwich for lunch today.","General"
